new_song_ID,title,release,artist_name,year,song_id
1183,Sincerité Et Jalousie,Simple Et Funky,Alliance Ethnik,0,SOBOUPA12A6D4F81F1
1104,The Maestro,Check Your Head,Beastie Boys,1992,SOMMONH12A6D4F41CD
1041,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,SOULTKQ12AB018A183
1041,Nothin' On You [feat. Bruno Mars] (Album Version),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,2010,SOULTKQ12AB018A183
1020,Rock Star,In Search Of...,N.E.R.D.,2002,SOWRREB12A6D4FA7CB
1083,You've Got The Love,Lungs,Florence + The Machine,2009,SOPAYPV12AB017DB0C
1189,Nah!,Up!,Shania Twain,2002,SOBABRB12A6701DF4B
1152,Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber,0,SOGSAYQ12AB018BA14
1103,Forgive Me,R&B Love Songs 2010,Leona Lewis,2008,SOMNTMT12A8C1400F6
1003,Voices On A String (Album Version),Kill The House Lights,Thursday,2007,SOZEBAZ12AF72A80C8
1087,Here Without You,Here Without You,3 Doors Down,2002,SOOJJCT12A6310E1C0
1086,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009,SOOWVNN12A8C140775
1070,Brave The Elements,Brave The Elements - EP,Colossal,0,SOQGSUC12A8C13B66D
1092,Reason I'm Alive (Explicit),Full Circle,Drowning Pool,2007,SONWUZV12AB0180BAD
1014,Half Of My Heart,Battle Studies,John Mayer,0,SOXNZOW12AB017F756
1015,Unite (2009 Digital Remaster),Hello Nasty (Remastered Edition),Beastie Boys,0,SOXLOQG12AF72A2D55
1163,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0,SOEQJBS12A8AE475A4
1099,Sexy Bitch,Club Traxxx Summer Slammin'_ Vol. 3,DJ Dizzy,2009,SONHVVE12AB018D038
1107,Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,0,SOMGIYR12AB0187973
1038,Paper Planes,Decent Work For Decent Pay,M.I.A.,0,SOUOEMP12A8C13866E
1133,My Immortal (Album Version),Fallen,Evanescence,2003,SOIPYPB12A8C1360D4
1133,My Immortal,Fallen,Evanescence,2000,SOIPYPB12A8C1360D4
1008,Cry Me A River,Chérie Love Songs,Justin Timberlake,2002,SOYAIPB12A8C143D84
1136,Reign Of The Tyrants,Decade Of The Nail-spiked Bat,Jag Panzer,1984,SOIMTII12A6D4F662A
1113,Sample Track 2,Dance & Hip Hop Breaks,Simon Harris,0,SOLRGNF12AB0187CF4
1029,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009,SOVWADY12AB0189C63
1105,I Wanna Be Sedated (Remastered Album Version ),Loud_ Fast_ Ramones:  Their Toughest Hits,Ramones,0,SOMLYJD12A58A7B155
1137,Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,2007,SOIIOUS12A8AE47E20
1193,Undo,Vespertine Live,Björk,2001,SOAUWYT12A81C206F1
1010,Cosmic Love,Lungs,Florence + The Machine,2009,SOXWYZP12AF72A42A6
